,Location,Start date,traveler_count,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
0,,2024-12-01,36,,,,,,,
1,,2024-12-02,55,,,,,,,
2,,2024-12-03,60,,,,,,,
3,,2024-12-04,62,,,,,,,
4,,2024-12-05,60,,,,,,,
5,,2024-12-06,59,,,,,,,
6,,2024-12-07,26,,,,,,,
7,,2024-12-08,40,,,,,,,
8,,2024-12-09,56,,,,,,,
9,,2024-12-10,70,,,,,,,
10,,2024-12-11,74,,,,,,,
11,,2024-12-12,63,,,,,,,
12,,2024-12-13,57,,,,,,,
13,,2024-12-14,64,,,,,,,
14, The Regent's Park,2024-12-01,6,,,,,,,
15, The Regent's Park,2024-12-02,21,,,,,,,
16, The Regent's Park,2024-12-03,14,,,,,,,
17, The Regent's Park,2024-12-04,21,,,,,,,
18, The Regent's Park,2024-12-05,10,,,,,,,
19, The Regent's Park,2024-12-06,14,,,,,,,
20, The Regent's Park,2024-12-07,3,,,,,,,
21, The Regent's Park,2024-12-08,8,,,,,,,
22, The Regent's Park,2024-12-09,8,,,,,,,
23, The Regent's Park,2024-12-10,11,,,,,,,
24, The Regent's Park,2024-12-11,7,,,,,,,
25, The Regent's Park,2024-12-12,13,,,,,,,
26, The Regent's Park,2024-12-13,2,,,,,,,
27, The Regent's Park,2024-12-14,5,,,,,,,
28,Aldgate,2024-12-01,108,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
29,Aldgate,2024-12-02,221,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
30,Aldgate,2024-12-03,263,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
31,Aldgate,2024-12-04,223,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
32,Aldgate,2024-12-05,172,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
33,Aldgate,2024-12-06,194,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
34,Aldgate,2024-12-07,60,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
35,Aldgate,2024-12-08,70,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
36,Aldgate,2024-12-09,197,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
37,Aldgate,2024-12-10,231,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
38,Aldgate,2024-12-11,242,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
39,Aldgate,2024-12-12,170,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
40,Aldgate,2024-12-13,158,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
41,Aldgate,2024-12-14,121,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH
42,Angel,2024-12-01,198,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
43,Angel,2024-12-02,286,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
44,Angel,2024-12-03,340,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
45,Angel,2024-12-04,348,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
46,Angel,2024-12-05,289,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
47,Angel,2024-12-06,325,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
48,Angel,2024-12-07,171,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
49,Angel,2024-12-08,141,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
50,Angel,2024-12-09,254,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
51,Angel,2024-12-10,297,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
52,Angel,2024-12-11,341,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
53,Angel,2024-12-12,297,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
54,Angel,2024-12-13,250,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
55,Angel,2024-12-14,276,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB
56,Avondale,2024-12-01,29,,,,,,,
57,Avondale,2024-12-02,81,,,,,,,
58,Avondale,2024-12-03,75,,,,,,,
59,Avondale,2024-12-04,84,,,,,,,
60,Avondale,2024-12-05,54,,,,,,,
61,Avondale,2024-12-06,72,,,,,,,
62,Avondale,2024-12-07,44,,,,,,,
63,Avondale,2024-12-08,32,,,,,,,
64,Avondale,2024-12-09,68,,,,,,,
65,Avondale,2024-12-10,62,,,,,,,
66,Avondale,2024-12-11,74,,,,,,,
67,Avondale,2024-12-12,59,,,,,,,
68,Avondale,2024-12-13,56,,,,,,,
69,Avondale,2024-12-14,65,,,,,,,
70,Bank,2024-12-01,69,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA
71,Bank,2024-12-02,296,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA
72,Bank,2024-12-03,305,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA
73,Bank,2024-12-04,325,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA
74,Bank,2024-12-05,249,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA
