Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Start Time,End Time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Station,Location,datum_start,tijd_start,dag_van_de_week_start,dagdeel_start,datum_end,tijd_end,dag_van_de_week_end,dagdeel_end,Categorie,nlc,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,OS X,OS Y,Latitude,Longitude,Zone,Postcode,latitude,longitude,closest_stalling
124729713,1500,20070,2022-09-01,803,"Southwark Street, Bankside",2022-09-01,8,"Maida Vale, Maida Vale",02:34:00,02:59:00,18.0,14.0,23.0,0.0,0,54,17.3,33.3,1019.6,0,Maida Vale,Maida Vale,2022-09-01,00:00:00,Thursday,Nacht,2022-09-01,00:00:00,Thursday,Nacht,Meerdere daagse rit,637,City of Westminster, ,5434,3803,2676,4864,3331,2587,396.58,525967,182792,51.5299947556212,-0.1854326449358559,2,W9 1JS,51.52999658559069,-0.18540791571439208,8
124920753,1380,6896,2022-09-06,348,"Grosvenor Square, Mayfair",2022-09-06,8,"Maida Vale, Maida Vale",08:34:00,08:57:00,16.9,15.3,18.8,7.6,0,171,13.0,31.5,1012.4,0,Maida Vale,Maida Vale,2022-09-06,00:00:00,Tuesday,Nacht,2022-09-06,00:00:00,Tuesday,Nacht,Dagelijkse rit,637,City of Westminster, ,5434,3803,2676,4864,3331,2587,396.58,525967,182792,51.5299947556212,-0.1854326449358559,2,W9 1JS,51.52999658559069,-0.18540791571439208,8
124693616,780,23686,2022-08-31,315,"The Tennis Courts, The Regent's Park",2022-08-31,8,"Maida Vale, Maida Vale",08:14:00,08:27:00,16.4,12.1,21.1,0.0,0,34,18.0,38.9,1024.0,0,Maida Vale,Maida Vale,2022-08-31,00:00:00,Wednesday,Nacht,2022-08-31,00:00:00,Wednesday,Nacht,Dagelijkse rit,637,City of Westminster, ,5434,3803,2676,4864,3331,2587,396.58,525967,182792,51.5299947556212,-0.1854326449358559,2,W9 1JS,51.52999658559069,-0.18540791571439208,8
124702165,1740,19365,2022-08-31,400,"George Street, Marylebone",2022-08-31,82,"Chancery Lane, Holborn",12:07:00,12:36:00,16.4,12.1,21.1,0.0,0,34,18.0,38.9,1024.0,0,Chancery Lane,Holborn,2022-08-31,00:00:00,Wednesday,Nacht,2022-08-31,00:00:00,Wednesday,Nacht,Meerdere daagse rit,541,City of London, ,31085,8066,4071,32778,8195,4038,1729.01,531096,181642,51.518493835819875,-0.1119620267624171,1,WC1V 6DR,51.51849554232616,-0.1119364036317358,84
124868806,720,16586,2022-09-04,584,"Ilchester Gardens, Bayswater",2022-09-04,398,"Holland Park, Kensington",17:52:00,18:04:00,18.5,15.7,21.8,0.0,0,158,12.3,29.6,1014.6,0,Holland Park,Kensington,2022-09-04,00:00:00,Sunday,Nacht,2022-09-04,00:00:00,Sunday,Nacht,Dagelijkse rit,608,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,432.38,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB,51.50714745517448,-0.20653388336623946,622
124710334,3120,20575,2022-08-31,38,"Abingdon Villas, Kensington",2022-08-31,398,"Holland Park, Kensington",16:26:00,17:18:00,16.4,12.1,21.1,0.0,0,34,18.0,38.9,1024.0,0,Holland Park,Kensington,2022-08-31,00:00:00,Wednesday,Nacht,2022-08-31,00:00:00,Wednesday,Nacht,Meerdere daagse rit,608,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,432.38,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB,51.50714745517448,-0.20653388336623946,622
124896023,2280,17845,2022-09-05,38,"Abingdon Villas, Kensington",2022-09-05,398,"Holland Park, Kensington",15:49:00,16:27:00,18.7,16.6,21.8,6.1,0,165,10.5,24.1,1015.7,0,Holland Park,Kensington,2022-09-05,00:00:00,Monday,Nacht,2022-09-05,00:00:00,Monday,Nacht,Meerdere daagse rit,608,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,432.38,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB,51.50714745517448,-0.20653388336623946,622
124930010,1260,20593,2022-09-06,396,"Shouldham Street, Marylebone",2022-09-06,398,"Holland Park, Kensington",13:34:00,13:55:00,16.9,15.3,18.8,7.6,0,171,13.0,31.5,1012.4,0,Holland Park,Kensington,2022-09-06,00:00:00,Tuesday,Nacht,2022-09-06,00:00:00,Tuesday,Nacht,Dagelijkse rit,608,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,432.38,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB,51.50714745517448,-0.20653388336623946,622
124823693,2100,22380,2022-09-03,38,"Abingdon Villas, Kensington",2022-09-03,398,"Holland Park, Kensington",15:13:00,15:48:00,18.1,14.5,22.2,0.0,0,171,9.8,27.8,1009.4,0,Holland Park,Kensington,2022-09-03,00:00:00,Saturday,Nacht,2022-09-03,00:00:00,Saturday,Nacht,Meerdere daagse rit,608,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,432.38,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB,51.50714745517448,-0.20653388336623946,622
124831181,660,17664,2022-09-03,769,"Sandilands Road, Walham Green",2022-09-03,688,"Northfields, Wandsworth",17:39:00,17:50:00,18.1,14.5,22.2,0.0,0,171,9.8,27.8,1009.4,0,Northfields,Wandsworth,2022-09-03,00:00:00,Saturday,Nacht,2022-09-03,00:00:00,Saturday,Nacht,Kleine rit,655,Ealing, ,6422,4279,3038,6197,3990,3159,474.89,517051,179296,51.50049115689572,-0.3150648129885717,3,W13 9QU,51.50049175132083,-0.31504280810838237,668
124723252,660,19873,2022-08-31,155,"Lexham Gardens, Kensington",2022-08-31,191,"Hyde Park Corner, Hyde Park",19:38:00,19:49:00,16.4,12.1,21.1,0.0,0,34,18.0,38.9,1024.0,0,Hyde Park Corner,Hyde Park,2022-08-31,00:00:00,Wednesday,Nacht,2022-08-31,00:00:00,Wednesday,Nacht,Kleine rit,614,City of Westminster, ,7515,7654,6368,8292,7400,6454,727.13,528330,179801,51.502583765542106,-0.1524741126318679,1,SW1X 7LY,51.50258503735252,-0.15244944696443716,191
