,Location,Start Date,traveler_count,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,,2022-08-31,109,,,,,,,,2022-08-31,16.4,12.1,21.1,0.0,,34.0,18.0,38.9,1024.0,
1,,2022-09-01,111,,,,,,,,2022-09-01,18.0,14.0,23.0,0.0,,54.0,17.3,33.3,1019.6,
2,,2022-09-02,126,,,,,,,,2022-09-02,18.5,14.7,23.6,5.3,,71.0,11.1,24.1,1013.0,
3,,2022-09-03,113,,,,,,,,2022-09-03,18.1,14.5,22.2,0.0,,171.0,9.8,27.8,1009.4,
4,,2022-09-04,96,,,,,,,,2022-09-04,18.5,15.7,21.8,0.0,,158.0,12.3,29.6,1014.6,
5,,2022-09-05,112,,,,,,,,2022-09-05,18.7,16.6,21.8,6.1,,165.0,10.5,24.1,1015.7,
6,,2022-09-06,93,,,,,,,,2022-09-06,16.9,15.3,18.8,7.6,,171.0,13.0,31.5,1012.4,
7, The Regent's Park,2022-08-31,24,,,,,,,,2022-08-31,16.4,12.1,21.1,0.0,,34.0,18.0,38.9,1024.0,
8, The Regent's Park,2022-09-01,22,,,,,,,,2022-09-01,18.0,14.0,23.0,0.0,,54.0,17.3,33.3,1019.6,
9, The Regent's Park,2022-09-02,20,,,,,,,,2022-09-02,18.5,14.7,23.6,5.3,,71.0,11.1,24.1,1013.0,
10, The Regent's Park,2022-09-03,29,,,,,,,,2022-09-03,18.1,14.5,22.2,0.0,,171.0,9.8,27.8,1009.4,
11, The Regent's Park,2022-09-04,45,,,,,,,,2022-09-04,18.5,15.7,21.8,0.0,,158.0,12.3,29.6,1014.6,
12, The Regent's Park,2022-09-05,25,,,,,,,,2022-09-05,18.7,16.6,21.8,6.1,,165.0,10.5,24.1,1015.7,
13, The Regent's Park,2022-09-06,17,,,,,,,,2022-09-06,16.9,15.3,18.8,7.6,,171.0,13.0,31.5,1012.4,
14,Aldgate,2022-08-31,365,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-08-31,16.4,12.1,21.1,0.0,,34.0,18.0,38.9,1024.0,
15,Aldgate,2022-09-01,353,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-09-01,18.0,14.0,23.0,0.0,,54.0,17.3,33.3,1019.6,
16,Aldgate,2022-09-02,299,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-09-02,18.5,14.7,23.6,5.3,,71.0,11.1,24.1,1013.0,
17,Aldgate,2022-09-03,256,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-09-03,18.1,14.5,22.2,0.0,,171.0,9.8,27.8,1009.4,
18,Aldgate,2022-09-04,284,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-09-04,18.5,15.7,21.8,0.0,,158.0,12.3,29.6,1014.6,
19,Aldgate,2022-09-05,325,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-09-05,18.7,16.6,21.8,6.1,,165.0,10.5,24.1,1015.7,
20,Aldgate,2022-09-06,332,Aldgate,533629.0,181246.0,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,2022-09-06,16.9,15.3,18.8,7.6,,171.0,13.0,31.5,1012.4,
21,Angel,2022-08-31,461,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-08-31,16.4,12.1,21.1,0.0,,34.0,18.0,38.9,1024.0,
22,Angel,2022-09-01,431,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-09-01,18.0,14.0,23.0,0.0,,54.0,17.3,33.3,1019.6,
23,Angel,2022-09-02,448,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-09-02,18.5,14.7,23.6,5.3,,71.0,11.1,24.1,1013.0,
24,Angel,2022-09-03,498,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-09-03,18.1,14.5,22.2,0.0,,171.0,9.8,27.8,1009.4,
25,Angel,2022-09-04,461,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-09-04,18.5,15.7,21.8,0.0,,158.0,12.3,29.6,1014.6,
26,Angel,2022-09-05,386,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-09-05,18.7,16.6,21.8,6.1,,165.0,10.5,24.1,1015.7,
27,Angel,2022-09-06,378,Angel,531497.0,183263.0,51.53296784539842,-0.1055814483037889,1,N1 8XB,2022-09-06,16.9,15.3,18.8,7.6,,171.0,13.0,31.5,1012.4,
28,Avondale,2022-08-31,95,,,,,,,,2022-08-31,16.4,12.1,21.1,0.0,,34.0,18.0,38.9,1024.0,
29,Avondale,2022-09-01,81,,,,,,,,2022-09-01,18.0,14.0,23.0,0.0,,54.0,17.3,33.3,1019.6,
30,Avondale,2022-09-02,85,,,,,,,,2022-09-02,18.5,14.7,23.6,5.3,,71.0,11.1,24.1,1013.0,
31,Avondale,2022-09-03,92,,,,,,,,2022-09-03,18.1,14.5,22.2,0.0,,171.0,9.8,27.8,1009.4,
32,Avondale,2022-09-04,93,,,,,,,,2022-09-04,18.5,15.7,21.8,0.0,,158.0,12.3,29.6,1014.6,
33,Avondale,2022-09-05,99,,,,,,,,2022-09-05,18.7,16.6,21.8,6.1,,165.0,10.5,24.1,1015.7,
34,Avondale,2022-09-06,88,,,,,,,,2022-09-06,16.9,15.3,18.8,7.6,,171.0,13.0,31.5,1012.4,
35,Bank,2022-08-31,514,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-08-31,16.4,12.1,21.1,0.0,,34.0,18.0,38.9,1024.0,
36,Bank,2022-09-01,533,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-09-01,18.0,14.0,23.0,0.0,,54.0,17.3,33.3,1019.6,
37,Bank,2022-09-02,403,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-09-02,18.5,14.7,23.6,5.3,,71.0,11.1,24.1,1013.0,
38,Bank,2022-09-03,262,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-09-03,18.1,14.5,22.2,0.0,,171.0,9.8,27.8,1009.4,
39,Bank,2022-09-04,207,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-09-04,18.5,15.7,21.8,0.0,,158.0,12.3,29.6,1014.6,
40,Bank,2022-09-05,351,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-09-05,18.7,16.6,21.8,6.1,,165.0,10.5,24.1,1015.7,
41,Bank,2022-09-06,386,Bank,532704.0,181111.0,51.51334691914183,-0.0890001234943746,1,EC3V 3LA,2022-09-06,16.9,15.3,18.8,7.6,,171.0,13.0,31.5,1012.4,
